session_idx,participant_file,Participant,Language,model_family,scale,window_sec,component,modality,token_step,tokens_in_session,center_progress,anchor_sec,approx_start_sec,approx_end_sec,event_phase,nearest_naming_distance_sec,naming_events,naming_events_per_min,code,z1,z2,q1,q2,CG_gaze_object,CG_gaze_cpa,CG_gaze_other,CG_touch,CG_attention_beh,CG_reflang,Child_gaze_object,Child_gaze_cpa,Child_gaze_other,Child_touch,Child_attention_beh,Child_reflang,dyadic_object_gaze_overlap,dyadic_cpa_gaze_overlap,dyadic_other_gaze_overlap,CG_language,Child_language,language_naming_group,Session,Child_Hearing,group,Age_Months,Gender
15,P07_S1_NGT_JR_25novDE_MM_BH_MM.eaf,P07,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2115,0.0009442870505154,0.5,0.0,1.0,far,69.69097900390625,24,2.719546742209632,6,-0.1505953669548034,2.790491104125977,0.1451353430747985,0.6918189525604248,0.0,1.0,0.25,1.0,0.5,0.0,1.0,0.25,0.0,1.0,0.0,0.0,0.0,0.25,0.0,1.0,0.0,low,S1,Hearing,Signer,56.97,M
16,P07_S2_NGT_JS_AB_MM.eaf,P07,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2470,0.0008087343303486,0.5,0.0,1.0,far,11.59503173828125,40,3.881924787707238,2,-4.451085567474365,-0.4213086068630218,-3.4327147006988525,1.4531491994857788,0.0,0.0,0.75,1.0,0.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,high,S2,Hearing,Signer,63.26,M
17,P08_S1_NGT_DE5dec_MM_JS_mm.eaf,P08,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2515,0.0007942811935208,0.5,0.0,1.0,far,3.9749755859375,67,6.386020651310564,0,3.8951029777526855,-1.280787706375122,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,high,S1,Hearing,Signer,28.97,F
18,P09_S1_NGT_merged_MM_MM.eaf,P09,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2719,0.0007347538485191,0.5,0.0,1.0,far,46.43499755859375,73,6.436443791329904,2,-3.8906891345977774,2.688982486724853,-3.4327147006988525,1.4531491994857788,0.75,0.5,0.0,0.0,0.25,0.25,0.25,1.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0,0.0,0.0,high,S1,Hearing,Signer,36.81,F
19,P09_S2_NGT_DE2_IS_MM.eaf,P09,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2663,0.0007501875516027,0.5,0.0,1.0,far,13.083984375,66,5.941485371342836,0,3.7442798614501953,-1.1582310199737549,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,high,S2,Hearing,Signer,43.45,F
20,P10_S1_NGT_JR_MM.eaf,P10,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,3012,0.0006633499288,0.5,0.0,1.0,far,28.91595458984375,54,4.298507462686567,0,4.223014831542969,-2.867031574249268,3.95365571975708,-1.2200936079025269,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,high,S1,Deaf,Signer,41.26,M
21,P10_S2_NGT_AB_MM_AB.eaf,P10,NGT,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2628,0.0007601672550663,0.5,0.0,1.0,far,30.406982421875,32,2.919042189281642,0,3.185573101043701,-2.430840492248535,3.95365571975708,-1.2200936079025269,1.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.5,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,high,S2,Deaf,Signer,47.94,M
22,P101_S1_NL_NS_AB_AB_AM.eaf,P101,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2482,0.0008048289455473,0.4999999701976776,0.0,1.0,far,42.33502197265625,51,4.925553319919517,1,-2.035233736038208,-1.0567505359649658,-0.5152609348297119,-0.5455045700073242,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.0,0.75,0.5,0.0,0.0,0.0,0.0,0.0,0.25,0.0,low,S1,Comparison,non-Signer,35.35,M
23,P101_S2_NL_JS_AB_AB.eaf,P101,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2571,0.0007770007941871,0.5,0.0,1.0,far,65.45904541015625,65,6.0606060606060606,4,-2.989616632461548,-1.170379877090454,-1.773471117019653,0.9603054523468018,1.0,0.0,0.0,1.0,0.25,0.0,0.75,0.0,0.75,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,high,S2,Comparison,non-Signer,41.39,M
24,P102_S1_NL_NS_AB_BH.eaf,P102,NL,joint_unimodal_independent_vq,s1,1.0,joint,joint,0,2549,0.0007836990407668,0.5,0.0,1.0,far,41.3800048828125,53,4.984326018808778,1,-0.3213010728359222,-0.4484677612781524,-0.5152609944343567,-0.5455045700073242,0.75,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,low,S1,Comparison,non-Signer,52.26,F
